Os01g0234100	OsABI1	ABI3-VP1
Os01g0353633	OsABI62	ABI3-VP1
Os01g0541000	OsABI63	ABI3-VP1
Os01g0713600	OsABI3	ABI3-VP1
Os01g0723500	OsABI4	ABI3-VP1
Os01g0723700	OsABI5	ABI3-VP1
Os01g0905400	OsABI6	ABI3-VP1
Os01g0911700	OsABI7	ABI3-VP1
Os02g0197750	OsABI8	ABI3-VP1
Os02g0455800	OsABI9	ABI3-VP1
Os02g0455900	OsABI10	ABI3-VP1
Os02g0598200	OsABI11	ABI3-VP1
Os02g0683500	OsABI12	ABI3-VP1
Os02g0764100	OsABI64	ABI3-VP1
Os03g0120900	OsABI13	ABI3-VP1
Os03g0184500	OsABI15	ABI3-VP1
Os03g0212300	OsABI16	ABI3-VP1
Os03g0562000	OsABI65	ABI3-VP1
Os03g0619600	OsABI17	ABI3-VP1
Os03g0619800	OsABI18	ABI3-VP1
Os03g0619850	OsABI19	ABI3-VP1
Os03g0620400	OsABI20	ABI3-VP1
Os03g0620500	OsABI21	ABI3-VP1
Os03g0621600	OsABI22	ABI3-VP1
Os03g0621650	OsABI66	ABI3-VP1
Os03g0621900	OsABI23	ABI3-VP1
Os03g0622100	OsABI24	ABI3-VP1
Os03g0622200	OsABI25	ABI3-VP1
Os04g0346900	OsABI26	ABI3-VP1
Os04g0347400	OsABI27	ABI3-VP1
Os04g0386900	OsABI29	ABI3-VP1
Os04g0510000	OsABI67	ABI3-VP1
Os04g0581400	OsABI30	ABI3-VP1
Os04g0676600	OsABI31	ABI3-VP1
Os04g0676650	OsABI32	ABI3-VP1
Os05g0175450	OsABI68	ABI3-VP1
Os05g0481400	OsABI33	ABI3-VP1
Os06g0107800	OsABI2	ABI3-VP1
Os06g0112300	OsABI34	ABI3-VP1
Os06g0194400	OsABI35	ABI3-VP1
Os06g0632500	OsABI36	ABI3-VP1
Os07g0232100	OsABI40	ABI3-VP1
Os07g0273700	OsABI41	ABI3-VP1
Os07g0563300	OsABI42	ABI3-VP1
Os07g0679700	OsABI43	ABI3-VP1
Os08g0101000	OsABI44	ABI3-VP1
Os08g0122800	OsABI69	ABI3-VP1
Os08g0157700	OsABI45	ABI3-VP1
Os08g0281500	OsABI70	ABI3-VP1
Os08g0282100	OsABI71	ABI3-VP1
Os08g0324300	OsABI46	ABI3-VP1
Os08g0325134	OsABI47	ABI3-VP1
Os08g0333500	OsABI72	ABI3-VP1
Os10g0158625	OsABI50	ABI3-VP1
Os10g0537100	OsABI52	ABI3-VP1
Os11g0156000	OsABI53	ABI3-VP1
Os11g0197600	OsABI54	ABI3-VP1
Os11g0242900	OsABI73	ABI3-VP1
Os11g0625400	OsABI75	ABI3-VP1
Os12g0591300	OsABI58	ABI3-VP1
Os12g0591500	OsABI59	ABI3-VP1
Os12g0592300	OsABI61	ABI3-VP1
SORBI_3001G061000	SbABI61	ABI3-VP1
SORBI_3001G164800	SbABI1	ABI3-VP1
SORBI_3001G165000	SbABI2	ABI3-VP1
SORBI_3001G165100	SbABI3	ABI3-VP1
SORBI_3001G165200	SbABI4	ABI3-VP1
SORBI_3001G165301	SbABI5	ABI3-VP1
SORBI_3001G165401	SbABI6	ABI3-VP1
SORBI_3001G165450	SbABI7	ABI3-VP1
SORBI_3001G165500	SbABI8	ABI3-VP1
SORBI_3001G165700	SbABI10	ABI3-VP1
SORBI_3001G165802	SbABI11	ABI3-VP1
SORBI_3001G165902	SbABI62	ABI3-VP1
SORBI_3001G166000	SbABI12	ABI3-VP1
SORBI_3001G166100	SbABI13	ABI3-VP1
SORBI_3001G166900	SbABI15	ABI3-VP1
SORBI_3001G313800	SbABI17	ABI3-VP1
SORBI_3001G376200	SbABI63	ABI3-VP1
SORBI_3001G459400	SbABI18	ABI3-VP1
SORBI_3001G479600	SbABI19	ABI3-VP1
SORBI_3001G528200	SbABI20	ABI3-VP1
SORBI_3002G142000	SbABI21	ABI3-VP1
SORBI_3002G157901	SbABI64	ABI3-VP1
SORBI_3002G158000	SbABI65	ABI3-VP1
SORBI_3002G161600	SbABI66	ABI3-VP1
SORBI_3002G339800	SbABI22	ABI3-VP1
SORBI_3002G363301	SbABI67	ABI3-VP1
SORBI_3002G418200	SbABI23	ABI3-VP1
SORBI_3003G005500	SbABI24	ABI3-VP1
SORBI_3003G006000	SbABI68	ABI3-VP1
SORBI_3003G189100	SbABI69	ABI3-VP1
SORBI_3003G203800	SbABI25	ABI3-VP1
SORBI_3003G203816	SbABI70	ABI3-VP1
SORBI_3003G203833	SbABI38	ABI3-VP1
SORBI_3003G204200	SbABI26	ABI3-VP1
SORBI_3003G275400	SbABI27	ABI3-VP1
SORBI_3003G281100	SbABI28	ABI3-VP1
SORBI_3003G281300	SbABI29	ABI3-VP1
SORBI_3003G291050	SbABI71	ABI3-VP1
SORBI_3003G393600	SbABI30	ABI3-VP1
SORBI_3003G398200	SbABI31	ABI3-VP1
SORBI_3004G204000	SbABI72	ABI3-VP1
SORBI_3004G280500	SbABI32	ABI3-VP1
SORBI_3005G041400	SbABI33	ABI3-VP1
SORBI_3005G073500	SbABI34	ABI3-VP1
SORBI_3006G022000	SbABI35	ABI3-VP1
SORBI_3006G050900	SbABI36	ABI3-VP1
SORBI_3006G190400	SbABI37	ABI3-VP1
SORBI_3006G217500	SbABI39	ABI3-VP1
SORBI_3006G266400	SbABI40	ABI3-VP1
SORBI_3007G000400	SbABI41	ABI3-VP1
SORBI_3007G047500	SbABI42	ABI3-VP1
SORBI_3007G076800	SbABI43	ABI3-VP1
SORBI_3007G083900	SbABI44	ABI3-VP1
SORBI_3007G090100	SbABI45	ABI3-VP1
SORBI_3008G041100	SbABI46	ABI3-VP1
SORBI_3008G148600	SbABI47	ABI3-VP1
SORBI_3008G148700	SbABI48	ABI3-VP1
SORBI_3008G148900	SbABI49	ABI3-VP1
SORBI_3008G149100	SbABI51	ABI3-VP1
SORBI_3008G149300	SbABI52	ABI3-VP1
SORBI_3008G149400	SbABI53	ABI3-VP1
SORBI_3008G191800	SbABI54	ABI3-VP1
SORBI_3009G057600	SbABI55	ABI3-VP1
SORBI_3009G086300	SbABI73	ABI3-VP1
SORBI_3009G087300	SbABI74	ABI3-VP1
SORBI_3009G093000	SbABI56	ABI3-VP1
SORBI_3009G124300	SbABI75	ABI3-VP1
