v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name	Source
Zm00001eb000690	Zm00001d027317	GRMZM2G042250	rld2	rolled leaf2	Gene Model - MaizeGDB
Zm00001eb000690	Zm00001d027317	GRMZM2G042250	rld2	rolled leaf2	Grassius
Zm00001eb000700	Zm00001d027318	AI667797	btf3	basic transcription factor 3 homolog	GenBank
Zm00001eb000700	Zm00001d027318	AT1G17880	btf3	basic transcription factor 3 homolog	Arabidopsis Ortholog
Zm00001eb000700	Zm00001d027318	AY103817	btf3	basic transcription factor 3 homolog	GenBank
Zm00001eb000700	Zm00001d027318	EU956752	btf3	basic transcription factor 3 homolog	GenBank
Zm00001eb000700	Zm00001d027318	EU966306 	btf3	basic transcription factor 3 homolog	GenBank
Zm00001eb000700	Zm00001d027318	GRMZM2G041881	btf3	basic transcription factor 3 homolog	Gene Model - MaizeGDB
Zm00001eb000700	Zm00001d027318	GU592998	btf3	basic transcription factor 3 homolog	GenBank
Zm00001eb000720	Zm00001d027320	GRMZM2G085872	LOC103630668		Gene Model - MaizeGDB
Zm00001eb000740	Zm00001d027321	GRMZM2G085885	cl5994_1		Gene Model - MaizeGDB
Zm00001eb000760	Zm00001d027322	GRMZM2G086269	LOC100501456		Gene Model - MaizeGDB
Zm00001eb000770	Zm00001d027323	GRMZM5G802392	pco121752		Gene Model - MaizeGDB
Zm00001eb000780	Zm00001d027324	GRMZM2G006673	Zm00001eb000780		Gene Model - MaizeGDB
Zm00001eb000800	Zm00001d027326	AT1G18450	arp4	actin related protein like4	Arabidopsis Ortholog
Zm00001eb000800	Zm00001d027326	GRMZM2G015384	arp4	actin related protein like4	Gene Model - MaizeGDB
Zm00001eb000820	Zm00001d027329	EU975182	met7	DNA methyl transferase7	GenBank
Zm00001eb000820	Zm00001d027329	EZ078761	met7	DNA methyl transferase7	GenBank
Zm00001eb000820	Zm00001d027329	GRMZM2G137366	met7	DNA methyl transferase7	Gene Model - MaizeGDB
Zm00001eb000840	Zm00001d027330	GRMZM2G137352	remo2	remorin2	Gene Model - MaizeGDB
Zm00001eb000850	Zm00001d027332	AY108705.1	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EU941625   	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EU957281 	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EU957289  	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EU958359 	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EU958418 	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EZ057295	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	EZ067385  	plt12	phospholipid transfer protein12	GenBank
Zm00001eb000850	Zm00001d027332	GRMZM2G137329	plt12	phospholipid transfer protein12	Gene Model - MaizeGDB
Zm00001eb000860	Zm00001d027333	GRMZM2G137236	cl584_1(3)		Gene Model - MaizeGDB
Zm00001eb000870	Zm00001d027334	GRMZM2G436226	GRMZM2G436226		Gene Model - MaizeGDB
Zm00001eb000880	Zm00001d027335	GRMZM2G314660	thx18	Trihelix-transcription factor 18	Gene Model - MaizeGDB
Zm00001eb000880	Zm00001d027335	GRMZM2G314660	thx18	Trihelix-transcription factor 18	Grassius
Zm00001eb000890	Zm00001d027337	EU945280.1	krp17	kinesin heavy chain17	GenBank
Zm00001eb000890	Zm00001d027337	EU948397.1 	krp17	kinesin heavy chain17	GenBank
Zm00001eb000890	Zm00001d027337	GRMZM2G092232	krp17	kinesin heavy chain17	Gene Model - MaizeGDB
Zm00001eb000920	Zm00001d027340	GRMZM2G124550	umc2183		Gene Model - MaizeGDB
Zm00001eb000950	Zm00001d027342	GRMZM2G144101	gpm319		Gene Model - MaizeGDB
Zm00001eb000970	Zm00001d027344	AY104472	LOC100272424		GenBank
Zm00001eb000970	Zm00001d027344	AY106971	LOC100272424		GenBank
Zm00001eb000970	Zm00001d027344	GRMZM2G077669	LOC100272424		Gene Model - MaizeGDB
Zm00001eb000980	Zm00001d027345	GRMZM2G077760	LOC103630760		Gene Model - MaizeGDB
Zm00001eb001000	Zm00001d027347	GRMZM2G077780	bhlh194	bHLH-transcription factor 194	Gene Model - MaizeGDB
Zm00001eb001040	Zm00001d027351	GRMZM2G426802	GRMZM2G426802		Gene Model - MaizeGDB
Zm00001eb001070	Zm00001d027354	GRMZM2G055880	LOC103630827		Gene Model - MaizeGDB
Zm00001eb001080	Zm00001d027355	GRMZM2G055698	IDP6908		Gene Model - MaizeGDB
Zm00001eb001110	Zm00001d027359	EU964381	fus6	fusca homolog	GenBank
Zm00001eb001110	Zm00001d027359	EU969307  	fus6	fusca homolog	GenBank
Zm00001eb001110	Zm00001d027359	GRMZM2G062210	fus6	fusca homolog	Gene Model - MaizeGDB
Zm00001eb001140	Zm00001d027363	EU969011	dpr1	dihydrodipicolinate reductase1	GenBank
Zm00001eb001140	Zm00001d027363	EZ081472	dpr1	dihydrodipicolinate reductase1	GenBank
Zm00001eb001140	Zm00001d027363	GRMZM2G044247	dpr1	dihydrodipicolinate reductase1	Gene Model - MaizeGDB
Zm00001eb001150	Zm00001d027365	GRMZM2G029713	arm30	armadillo domain protein30	Gene Model - MaizeGDB
Zm00001eb001170	Zm00001d027366	EU954671	pmp1	peroxisomal membrane protein homolog1	GenBank
Zm00001eb001170	Zm00001d027366	EU975129	pmp1	peroxisomal membrane protein homolog1	GenBank
Zm00001eb001170	Zm00001d027366	GRMZM2G029824	pmp1	peroxisomal membrane protein homolog1	Gene Model - MaizeGDB
Zm00001eb001180	Zm00001d027367	EU967589	pyrd1	pyrimidine deaminase1	GenBank
Zm00001eb001180	Zm00001d027367	GRMZM2G320099	pyrd1	pyrimidine deaminase1	Gene Model - MaizeGDB
Zm00001eb001200	Zm00001d027369	GRMZM2G030299	GRMZM2G030299		Gene Model - MaizeGDB
Zm00001eb001210	Zm00001d027369	GRMZM2G320111	ereb214	AP2-EREBP-transcription factor 214	Gene Model - MaizeGDB
Zm00001eb001240	Zm00001d027371	GRMZM2G085909	Zm00001d027371		Gene Model - MaizeGDB
Zm00001eb001260	Zm00001d027373	AT3G48750	cdc2	cell division control protein homolog2	Arabidopsis Ortholog
Zm00001eb001260	Zm00001d027373	EU961894	cdc2	cell division control protein homolog2	GenBank
Zm00001eb001260	Zm00001d027373	GRMZM2G008327	cdc2	cell division control protein homolog2	Gene Model - MaizeGDB
Zm00001eb001290	Zm00001d027376	GRMZM2G308570	cyc41	cyclin41	Gene Model - MaizeGDB
Zm00001eb001330	Zm00001d027380		cl16599_1a		<i>unknown</i>
Zm00001eb001340	Zm00001d027383	GRMZM2G087207	Zm00001d027383		Gene Model - MaizeGDB
Zm00001eb001350	Zm00001d027384	GRMZM2G387837	si618024d08		Gene Model - MaizeGDB
Zm00001eb001360	Zm00001d027385	GRMZM2G013634	IDP1464		Gene Model - MaizeGDB
Zm00001eb001370	Zm00001d027386	GRMZM2G312438	pld15	phospholipase D15	Gene Model - MaizeGDB
Zm00001eb001390	Zm00001d027387	GRMZM2G013986	sbt62	subtilisin62	Gene Model - MaizeGDB
Zm00001eb001400	Zm00001d027389	AY107920	nad5 (homolog)	NADH ubiquinone oxidoreductase B14 subunit5 (homolog)	GenBank
Zm00001eb001400	Zm00001d027389	EU960165 	nad5 (homolog)	NADH ubiquinone oxidoreductase B14 subunit5 (homolog)	GenBank
Zm00001eb001400	Zm00001d027389	EZ056514   	nad5 (homolog)	NADH ubiquinone oxidoreductase B14 subunit5 (homolog)	GenBank
Zm00001eb001400	Zm00001d027389	EZ104396 	nad5 (homolog)	NADH ubiquinone oxidoreductase B14 subunit5 (homolog)	GenBank
Zm00001eb001400	Zm00001d027389	GRMZM2G014382	nad5 (homolog)	NADH ubiquinone oxidoreductase B14 subunit5 (homolog)	Gene Model - MaizeGDB
Zm00001eb001430	Zm00001d027392	EZ050870.1 		cals9	callose synthase9	GenBank
Zm00001eb001430	Zm00001d027392	EZ058357.1 		cals9	callose synthase9	GenBank
Zm00001eb001430	Zm00001d027392	EZ067403.1	cals9	callose synthase9	GenBank
Zm00001eb001430	Zm00001d027392	GRMZM2G453794	cals9	callose synthase9	Gene Model - MaizeGDB
Zm00001eb001440	Zm00001d027393	GRMZM2G167568	ppr3	pentatricopeptide repeat protein3	Gene Model - MaizeGDB
Zm00001eb001460	Zm00001d027395	GRMZM2G406204	nactf78	NAC-transcription factor 78	Gene Model - MaizeGDB
Zm00001eb001460	Zm00001d027395	GRMZM2G406204	nactf78	NAC-transcription factor 78	Grassius
Zm00001eb001480	Zm00001d027400	GRMZM2G473389	tho1	THO complex subunit 7B-like1	Gene Model - MaizeGDB
Zm00001eb001490	Zm00001d027401	GRMZM2G049031	si707050h06a		Gene Model - MaizeGDB
Zm00001eb001530	Zm00001d027405	EU943530	mib1	metal ion binding1	GenBank
Zm00001eb001530	Zm00001d027405	EU959965	mib1	metal ion binding1	GenBank
Zm00001eb001530	Zm00001d027405	EZ063579   	mib1	metal ion binding1	GenBank
Zm00001eb001530	Zm00001d027405	GRMZM2G136859	mib1	metal ion binding1	Gene Model - MaizeGDB
Zm00001eb001550	Zm00001d027409	GRMZM2G082227	abi8	ABI3-VP1-transcription factor 8	Gene Model - MaizeGDB
Zm00001eb001550	Zm00001d027409	GRMZM2G082227	abi8	ABI3-VP1-transcription factor 8	Grassius
Zm00001eb001560	Zm00001d027411	GRMZM2G341934	prx15	peroxidase15	Gene Model - MaizeGDB
Zm00001eb001570	Zm00001d027412	EU951021	dcl101	dicer-like 101	GenBank
Zm00001eb001570	Zm00001d027412	GRMZM2G040762	dcl101	dicer-like 101	Gene Model - MaizeGDB
Zm00001eb001590	Zm00001d027415	GRMZM2G105415	atg1a	autophagy1a	Gene Model - MaizeGDB
Zm00001eb001630	Zm00001d027419	GRMZM2G475289	bhlh140	bHLH-transcription factor 140	Gene Model - MaizeGDB
Zm00001eb001630	Zm00001d027419	GRMZM2G475289	bhlh140	bHLH-transcription factor 140	Grassius
Zm00001eb001640	Zm00001d027421	GRMZM2G176820	IDP2420		Gene Model - MaizeGDB
Zm00001eb001650	Zm00001d027422	GRMZM2G176840	Zm00001d027422		Gene Model - MaizeGDB
Zm00001eb001660	Zm00001d027424	GRMZM2G026706	Zm00001eb001660		Gene Model - MaizeGDB
Zm00001eb001670	Zm00001d027425	EU960774	zag6	agamous-like6	GenBank
Zm00001eb001670	Zm00001d027425	EU962504	zag6	agamous-like6	GenBank
Zm00001eb001670	Zm00001d027425	EU976299	zag6	agamous-like6	GenBank
Zm00001eb001670	Zm00001d027425	GRMZM2G026223	zag6	agamous-like6	Gene Model - MaizeGDB
Zm00001eb001670	Zm00001d027425	GRMZM2G026223	zag6	agamous-like6	Grassius
Zm00001eb001680	Zm00001d027427	AC155554	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	AC194428	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	AY106327	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	EU941629	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	EU952667	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	EU965001	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	EU966933	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	EU973359	uce3	ubiquitin conjugating enzyme3	GenBank
Zm00001eb001680	Zm00001d027427	GRMZM2G070047	uce3	ubiquitin conjugating enzyme3	Gene Model - MaizeGDB
Zm00001eb001700	Zm00001d027429	GRMZM2G070259	IDP658		Gene Model - MaizeGDB
Zm00001eb001710	Zm00001d027430	AT4G22910	cl250_1a		Arabidopsis Ortholog
Zm00001eb001710	Zm00001d027430	GRMZM2G159427	cl250_1a		Gene Model - MaizeGDB
Zm00001eb001720	Zm00001d027431	GRMZM2G159431	knox1	knotted related homeobox1	Gene Model - MaizeGDB
Zm00001eb001720	Zm00001d027431	GRMZM2G159431	knox1	knotted related homeobox1	Grassius
Zm00001eb001770	Zm00001d027435	EU946484 	hb30	Homeobox-transcription factor 30	GenBank
Zm00001eb001770	Zm00001d027435	EU957980 	hb30	Homeobox-transcription factor 30	GenBank
Zm00001eb001770	Zm00001d027435	EZ109852	hb30	Homeobox-transcription factor 30	GenBank
Zm00001eb001770	Zm00001d027435	GRMZM2G327059	hb30	Homeobox-transcription factor 30	Gene Model - MaizeGDB
Zm00001eb001770	Zm00001d027435	GRMZM2G327059	hb30	Homeobox-transcription factor 30	Grassius
Zm00001eb001780	Zm00001d027436	GRMZM2G165422	flr14	feronia-like receptor14	Gene Model - MaizeGDB
Zm00001eb001810	Zm00001d027439	GRMZM2G119736	flr16	feronia-like receptor16	Gene Model - MaizeGDB
Zm00001eb001830	Zm00001d027441	EU969516	pgl106	polygalacturonase106	GenBank
Zm00001eb001830	Zm00001d027441	GRMZM2G119494	pgl106	polygalacturonase106	Gene Model - MaizeGDB
Zm00001eb001840	Zm00001d027442	GRMZM2G119471	IDP3811		Gene Model - MaizeGDB
Zm00001eb001850	Zm00001d027443	GRMZM2G090051	hyd6	hydroxylase6	Gene Model - MaizeGDB
Zm00001eb001860	Zm00001d027444	GRMZM2G089976	IDP755		Gene Model - MaizeGDB
Zm00001eb001870	Zm00001d027445	GRMZM2G089860	LOC100194359		Gene Model - MaizeGDB
Zm00001eb001880	Zm00001d027446	EU956800.1	umc1292		GenBank
Zm00001eb001880	Zm00001d027446	EZ052173.1 	umc1292		GenBank
Zm00001eb001880	Zm00001d027446	EZ109037.1	umc1292		GenBank
Zm00001eb001880	Zm00001d027446	EZ112896.1  	umc1292		GenBank
Zm00001eb001880	Zm00001d027446	GRMZM2G176604	umc1292		Gene Model - MaizeGDB
Zm00001eb001890	Zm00001d027447	GRMZM5G899119	umc2523		Gene Model - MaizeGDB
Zm00001eb001900	Zm00001d027448	AT5G52790	LOC100274981		Arabidopsis Ortholog
Zm00001eb001900	Zm00001d027448	GRMZM2G176558	LOC100274981		Gene Model - MaizeGDB
Zm00001eb001900	Zm00001d027449	GRMZM2G176548	Zm00001d027449		Gene Model - MaizeGDB
Zm00001eb001910	Zm00001d027450	GRMZM2G476107	csu680a		Gene Model - MaizeGDB
Zm00001eb001910	Zm00001d027450	GRMZM5G841360	csu680a		Gene Model - MaizeGDB
Zm00001eb001920	Zm00001d027453	GRMZM2G055737	ofp1	OVATE-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb001920	Zm00001d027453	GRMZM2G055737	ofp1	OVATE-transcription factor 1	Grassius
Zm00001eb001930	Zm00001d027454	AT1G01490	GRMZM2G055704		Arabidopsis Ortholog
Zm00001eb001930	Zm00001d027454	AY105811	GRMZM2G055704		GenBank
Zm00001eb001930	Zm00001d027454	EC872574	GRMZM2G055704		GenBank
Zm00001eb001930	Zm00001d027454	EU963549	GRMZM2G055704		GenBank
Zm00001eb001930	Zm00001d027454	GRMZM2G055704	GRMZM2G055704		Gene Model - MaizeGDB
Zm00001eb001940	Zm00001d027455	GRMZM2G055575	cipk9	calcineurin B-like-interacting protein kinase9	Gene Model - MaizeGDB
Zm00001eb001950	Zm00001d027456	GRMZM2G177508	pba1	PBA1 homolog1	Gene Model - MaizeGDB
Zm00001eb001980	Zm00001d027458	GRMZM2G025552	KJ682451		Gene Model - MaizeGDB
Zm00001eb001990	Zm00001d027459	GRMZM2G025642	nactf33	NAC-transcription factor 33	Gene Model - MaizeGDB
Zm00001eb001990	Zm00001d027459	GRMZM2G025642	nactf33	NAC-transcription factor 33	Grassius
Zm00001eb002000	Zm00001d027460	GRMZM2G319022	gpm330		Gene Model - MaizeGDB
Zm00001eb002010	Zm00001d027461	GRMZM2G428184	bzip114	bZIP-transcription factor 114	Gene Model - MaizeGDB
Zm00001eb002010	Zm00001d027461	GRMZM2G428184	bzip114	bZIP-transcription factor 114	Grassius
Zm00001eb002020	Zm00001d027462	GRMZM2G129243	fha1	FHA-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb002020	Zm00001d027462	GRMZM2G129243	fha1	FHA-transcription factor 1	Grassius
Zm00001eb002030	Zm00001d027463	GRMZM2G371137	Zm00001d027463		Gene Model - MaizeGDB
Zm00001eb002040	Zm00001d027466	GRMZM2G040158	kea5	K+ efflux antiporter 5	Gene Model - MaizeGDB
Zm00001eb002060	Zm00001d027468	GRMZM2G105571	gpm280a		Gene Model - MaizeGDB
Zm00001eb002070	Zm00001d027469		Zm00001d027469		<i>unknown</i>
Zm00001eb002090	Zm00001d027471	GRMZM2G065718	fla1	fasciclin-like arabinogalactan1	Gene Model - MaizeGDB
Zm00001eb002100	Zm00001d027472	GRMZM2G180951	cals1	callose synthase1	Gene Model - MaizeGDB
Zm00001eb002180	Zm00001d027480	GRMZM2G032852	cdpk36	calcium dependent protein kinase36	Gene Model - MaizeGDB
Zm00001eb002200	Zm00001d027483	GRMZM2G321041	ring3	RING-type E3 ligase3	Gene Model - MaizeGDB
Zm00001eb002220	Zm00001d027484	GRMZM2G032409	cl2088_1		Gene Model - MaizeGDB
Zm00001eb002240	Zm00001d027485	GRMZM2G032328	cl36375_1a		Gene Model - MaizeGDB
Zm00001eb002250	Zm00001d027486	AY029312	mlo1	barley mlo defense gene homolog1	GenBank
Zm00001eb002250	Zm00001d027486	AY110401	mlo1	barley mlo defense gene homolog1	GenBank
Zm00001eb002250	Zm00001d027486	GRMZM2G032219	mlo1	barley mlo defense gene homolog1	Gene Model - MaizeGDB
Zm00001eb002260	Zm00001d027487	AT2G17510	cl19897_1		Arabidopsis Ortholog
Zm00001eb002260	Zm00001d027487	GRMZM2G031859	cl19897_1		Gene Model - MaizeGDB
Zm00001eb002270	Zm00001d027488	EU956929  	gpb1	glyceraldehyde phosphate dehydrogenase B1	GenBank
Zm00001eb002270	Zm00001d027488	GRMZM5G845611	gpb1	glyceraldehyde phosphate dehydrogenase B1	Gene Model - MaizeGDB
Zm00001eb002300	Zm00001d027490	GRMZM2G008122	mha6	membrane H(+)-ATPase6	Gene Model - MaizeGDB
Zm00001eb002310	Zm00001d027492	GRMZM5G887276	glk48	G2-like-transcription factor 48	Gene Model - MaizeGDB
Zm00001eb002310	Zm00001d027492	GRMZM5G887276	glk48	G2-like-transcription factor 48	Grassius
Zm00001eb002320	Zm00001d027493	EU964726 	nad4	NADH-ubiquinone oxidoreductase B18 subunit4	GenBank
Zm00001eb002320	Zm00001d027493	EU971730	nad4	NADH-ubiquinone oxidoreductase B18 subunit4	GenBank
Zm00001eb002320	Zm00001d027493	EZ059793	nad4	NADH-ubiquinone oxidoreductase B18 subunit4	GenBank
Zm00001eb002320	Zm00001d027493	EZ517220   	nad4	NADH-ubiquinone oxidoreductase B18 subunit4	GenBank
Zm00001eb002320	Zm00001d027493	GRMZM2G137312	nad4	NADH-ubiquinone oxidoreductase B18 subunit4	Gene Model - MaizeGDB
Zm00001eb002330	Zm00001d027494	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb002330	Zm00001d027494	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Grassius
Zm00001eb002330	Zm00001d027495	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb002330	Zm00001d027495	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Grassius
Zm00001eb002340	Zm00001d027494	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb002340	Zm00001d027494	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Grassius
Zm00001eb002340	Zm00001d027495	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb002340	Zm00001d027495	GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	Grassius
Zm00001eb002350	Zm00001d027496	GRMZM2G137374	bhlh49	bHLH-transcription factor 49	Gene Model - MaizeGDB
Zm00001eb002350	Zm00001d027496	GRMZM2G137374	bhlh49	bHLH-transcription factor 49	Grassius
Zm00001eb002360	Zm00001d027497	GRMZM2G137380	bhlh50	bHLH-transcription factor 50	Gene Model - MaizeGDB
Zm00001eb002360	Zm00001d027497	GRMZM2G137380	bhlh50	bHLH-transcription factor 50	Grassius
Zm00001eb002370	Zm00001d027497	GRMZM2G137380	bhlh50	bHLH-transcription factor 50	Gene Model - MaizeGDB
Zm00001eb002370	Zm00001d027497	GRMZM2G137380	bhlh50	bHLH-transcription factor 50	Grassius
Zm00001eb002380	Zm00001d027499	GRMZM2G092813	ccl18	coumarate-CoA ligase18	Gene Model - MaizeGDB
Zm00001eb002390	Zm00001d027500	EU968051.1  	fsgt1	flower-specific gamma-thionin1	GenBank
Zm00001eb002390	Zm00001d027500	GRMZM2G392863	fsgt1	flower-specific gamma-thionin1	Gene Model - MaizeGDB
Zm00001eb002420	Zm00001d027502	GRMZM2G092923	pco069350a		Gene Model - MaizeGDB
Zm00001eb002440	Zm00001d027504	GRMZM2G089056	php20537b		Gene Model - MaizeGDB
Zm00001eb002450	Zm00001d027505	GRMZM2G089092	LOC103631588		Gene Model - MaizeGDB
Zm00001eb002460	Zm00001d027506	GRMZM2G020548	bnlg1014		Gene Model - MaizeGDB
